"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 23:27:46 IST 2023","Fri Sep 01 23:27:53 IST 2023","6178","testcases","test_16_ss","Test_015_screenshot","","","test_015_sreenshot",""
"passed","Fri Sep 01 23:27:53 IST 2023","Fri Sep 01 23:27:53 IST 2023","0","testcases","test_16_ss","Test_015_screenshot","","","test_015_sum",""
